Country Code,RMSE
ABW,7.329215267938935
AFG,3.3432133297199296
AGO,0.9500066306807916
ALB,0.6096938609290732
ARE,0.33755894080444504
ARG,1.7759386881431196
ARM,6.067794885346664
AUS,4.239034699321179
AUT,11.32772150054556
AZE,2.7234926972154025
BDI,2.1570836168755085
BEL,0.3301057622498184
BEN,2.324947972420511
BFA,5.334845539369266
BGD,1.575790425110675
BGR,2.28018262655288
BHR,1.500556704499893
BHS,3.7796361840717965
BIH,6.430246430085642
BLR,1.7362725732194353
BLZ,11.522801570801986
BOL,1.7966655117243622
BRA,1.9423302468662502
BRB,16.696202684420022
BRN,1.1664575877993586
BTN,3.2744038685228056
BWA,1.876424639712282
CAF,3.683835474369821
CAN,1.4648619342738434
CHE,2.3014578893964583
CHL,2.8944295624870313
CHN,2.538888019531595
CIV,5.824471612798095
CMR,7.69243731876342
COD,3.121266412530605
COG,1.477591645010035
COL,1.7746501032520887
COM,6.775047008794097
CPV,1.8525117473163815
CRI,7.745539792895161
CUB,3.5040226552540705
CYP,5.5017383967053775
CZE,2.241119061672357
DEU,1.9711936114728714
DJI,3.5248002706782535
DNK,0.5308525492130786
DOM,5.979193368867624
DZA,0.7416246964488152
ECU,7.462464045586593
EGY,6.648052027550935
ERI,12.314234026401248
ESP,0.6785153102815247
EST,2.773915529309763
ETH,1.604011744114089
FIN,1.39936366557069
FJI,2.1004613520813704
FRA,6.724694264500143
FSM,5.5416240218446
GAB,0.8600617947185183
GBR,1.137358620364603
GEO,1.814526420063398
GHA,2.201935741619112
GIN,5.51957424441408
GMB,2.735778173404039
GNB,7.74025075376016
GNQ,27.14793132220405
GRC,13.880682757735709
GRD,8.84905202171943
GTM,4.1951315104921
GUM,1.153355391229586
GUY,9.04557257967032
HKG,0.0
HND,1.2308271301410372
HRV,4.8028146618415395
HTI,7.6739672321720365
HUN,0.679181917331593
IDN,4.275575632784764
IND,2.917391195169345
IRL,2.507779247652856
IRN,2.371481275108594
IRQ,2.107031046465533
ISL,2.086499840973877
ISR,0.24968393006475814
ITA,0.42785622979187365
JAM,2.8344505897602286
JOR,7.1815774360488955
JPN,22.580378506704605
KAZ,5.895116068493398
KEN,2.0622570452675206
KGZ,4.771145524897263
KHM,2.1795877218537676
KOR,2.939538052376311
KWT,0.9705782727339785
LAO,7.972524278503622
LBN,0.1428786056754123
LBR,3.439603230667801
LBY,2.7446284954983504
LCA,16.017079978975044
LKA,2.560766411516223
LSO,6.865159036631269
LTU,3.5956685709236473
LUX,3.4289083280360235
LVA,3.728972219702136
MAC,0.0
MAR,1.4241313920956613
MDA,10.394892970776437
MDG,1.2151285749421321
MDV,9.87974224892727
MEX,2.6715185281908815
MKD,5.9534575360178925
MLI,2.744285349830671
MLT,1.67920402758875
MMR,9.309514034110572
MNE,1.9947620672782076
MNG,3.4746187753128015
MOZ,10.298188337881166
MRT,4.684495272140678
MUS,7.108192348725936
MWI,7.5017466011753005
MYS,2.041318966597019
NAM,4.013165499948041
NCL,9.184405653905666
NER,4.917912998738956
NGA,6.442457079953774
NIC,3.8708080495379935
NLD,5.737561534923426
NOR,0.29725241532634233
NPL,4.280719731309612
NZL,1.124563318644243
OMN,6.762042665995463
PAK,5.46734062883419
PAN,11.98331211038535
PER,3.7749957043991254
PHL,7.388442004113969
PNG,3.4312180102666114
POL,4.17349292524967
PRI,5.784632950320971
PRK,2.969213936602749
PRT,0.12180211627949505
PRY,4.907287790674768
PSE,3.1763548762159193
PYF,6.877123561465556
QAT,2.699692261813752
ROU,7.805014549321998
RUS,3.7182442725042772
RWA,6.372256083854659
SAU,0.3772291157194655
SDN,11.72686162683867
SEN,2.4831882149750575
SGP,0.0
SLB,2.1664035469840806
SLE,2.8673835641260026
SLV,1.0467872704904855
SOM,1.3368642985014534
SRB,4.864750515417388
STP,3.813307156443433
SUR,6.644459413669439
SVK,4.823534635646123
SVN,1.9470956565949686
SWE,0.6849291799721426
SWZ,3.832510845211711
SYR,6.566082027310699
TCD,10.544754679981882
TGO,8.7493822992193
THA,8.910394378955855
TJK,5.103496950294317
TKM,3.790524436895975
TLS,4.4818442923389235
TON,7.565046353188921
TTO,37.69824055646261
TUN,2.6556001504894047
TUR,0.9098726184067971
TZA,1.1101240180252223
UGA,5.860521325785164
UKR,3.3546382278113724
URY,2.0060046712148365
USA,2.0191542886600424
UZB,10.560794432755905
VCT,3.8663730967303356
VEN,6.35981419510833
VIR,1.182786581133811
VNM,1.849609864204626
VUT,7.5262064992147915
WSM,7.755957147446704
YEM,2.822978711883148
ZAF,0.9512449105238241
ZMB,2.308270515857579
ZWE,10.976397769146287
